UF;Municipio;DepAdm;EnsinoFund1_4;EnsinoFund5_8
Alagoas;DELMIRO GOUVEIA;Total;1.482;1.011
Alagoas;DELMIRO GOUVEIA;Estadual;1.060;755
Alagoas;DELMIRO GOUVEIA;Municipal;0;0
Alagoas;DELMIRO GOUVEIA;Privada;422;256
Alagoas;DOIS RIACHOS;Total;2.488;936
Alagoas;DOIS RIACHOS;Estadual;90;464
Alagoas;DOIS RIACHOS;Municipal;2.398;472
Alagoas;ESTRELA DE ALAGOAS;Total;2.491;1.517
Alagoas;ESTRELA DE ALAGOAS;Estadual;95;310
Alagoas;ESTRELA DE ALAGOAS;Municipal;2.396;1.207
Alagoas;FEIRA GRANDE;Total;3.205;2.170
Alagoas;FEIRA GRANDE;Estadual;478;344
Alagoas;FEIRA GRANDE;Municipal;2.727;1.826
Alagoas;FELIZ DESERTO;Total;700;450
Alagoas;FELIZ DESERTO;Estadual;0;67
Alagoas;FELIZ DESERTO;Municipal;700;383
Alagoas;FLEXEIRAS;Total;2.221;1.154
Alagoas;FLEXEIRAS;Municipal;2.221;1.154
Alagoas;GIRAU DO PONCIANO;Total;5.767;4.195
Alagoas;GIRAU DO PONCIANO;Estadual;273;1.424
Alagoas;GIRAU DO PONCIANO;Municipal;5.421;2.687
Alagoas;GIRAU DO PONCIANO;Privada;73;84
Alagoas;IBATEGUARA;Total;2.233;1.093
Alagoas;IBATEGUARA;Estadual;519;297
Alagoas;IBATEGUARA;Municipal;1.585;796
Alagoas;IBATEGUARA;Privada;129;0
Alagoas;IGACI;Total;4.567;3.366
Alagoas;IGACI;Estadual;281;996
Alagoas;IGACI;Municipal;4.142;2.302
Alagoas;IGACI;Privada;144;68
Alagoas;IGREJA NOVA;Total;3.453;2.293
Alagoas;IGREJA NOVA;Estadual;0;1.759
Alagoas;IGREJA NOVA;Municipal;3.453;534
Alagoas;INHAPI;Total;3.335;1.170
Alagoas;INHAPI;Estadual;949;0
Alagoas;INHAPI;Municipal;2.386;1.170
Alagoas;JACARE DOS HOMENS;Total;1.063;693
Alagoas;JACARE DOS HOMENS;Estadual;20;305
Alagoas;JACARE DOS HOMENS;Municipal;1.015;388
Alagoas;JACARE DOS HOMENS;Privada;28;0
Alagoas;JACUIPE;Total;1.484;729
Alagoas;JACUIPE;Estadual;0;290
Alagoas;JACUIPE;Municipal;1.484;439
Alagoas;JAPARATINGA;Total;1.393;921
Alagoas;JAPARATINGA;Estadual;68;120
Alagoas;JAPARATINGA;Municipal;1.291;801
Alagoas;JAPARATINGA;Privada;34;0
Alagoas;JARAMATAIA;Total;925;610
Alagoas;JARAMATAIA;Estadual;0;76
Alagoas;JARAMATAIA;Municipal;925;534
Alagoas;JEQUIA DA PRAIA;Total;2.044;1.530
Alagoas;JEQUIA DA PRAIA;Municipal;2.044;1.530
Alagoas;JEQUIA DA PRAIA;Privada;0;0
Alagoas;JOAQUIM GOMES;Total;3.907;1.704
Alagoas;JOAQUIM GOMES;Estadual;360;1.259
Alagoas;JOAQUIM GOMES;Municipal;3.547;445
Alagoas;JOAQUIM GOMES;Privada;0;0
Alagoas;JUNDIA;Total;717;592
Alagoas;JUNDIA;Estadual;0;266
Alagoas;JUNDIA;Municipal;717;326
Alagoas;JUNDIA;Privada;0;0
Alagoas;JUNQUEIRO;Total;3.801;2.908
Alagoas;JUNQUEIRO;Estadual;30;318
Alagoas;JUNQUEIRO;Municipal;3.716;2.590
Alagoas;JUNQUEIRO;Privada;55;0
Alagoas;LAGOA DA CANOA;Total;3.006;2.056
Alagoas;LAGOA DA CANOA;Estadual;205;25
Alagoas;LAGOA DA CANOA;Municipal;2.801;2.031
Alagoas;LIMOEIRO DE ANADIA;Total;3.682;1.683
Alagoas;LIMOEIRO DE ANADIA;Estadual;105;160
Alagoas;LIMOEIRO DE ANADIA;Municipal;3.577;1.523
Alagoas;MACEIO;Total;73.978;80.828
Alagoas;MACEIO;Estadual;28.896;50.526
Alagoas;MACEIO;Federal;0;0
Alagoas;MACEIO;Municipal;33.919;17.414
Alagoas;MACEIO;Privada;11.163;12.888
Alagoas;MAJOR ISIDORO;Total;3.102;1.786
Alagoas;MAJOR ISIDORO;Estadual;473;464
Alagoas;MAJOR ISIDORO;Municipal;2.505;1.322
Alagoas;MAJOR ISIDORO;Privada;124;0
Alagoas;MAR VERMELHO;Total;533;351
Alagoas;MAR VERMELHO;Estadual;0;132
Alagoas;MAR VERMELHO;Municipal;533;219
Alagoas;MARAGOGI;Total;4.317;2.423
Alagoas;MARAGOGI;Estadual;0;192
Alagoas;MARAGOGI;Municipal;4.275;2.231
Alagoas;MARAGOGI;Privada;42;0
Alagoas;MARAVILHA;Total;2.098;1.258
Alagoas;MARAVILHA;Estadual;98;153
Alagoas;MARAVILHA;Municipal;2.000;1.105
Alagoas;MARECHAL DEODORO;Total;5.496;4.093
Alagoas;MARECHAL DEODORO;Estadual;0;434
Alagoas;MARECHAL DEODORO;Federal;0;0
Alagoas;MARECHAL DEODORO;Municipal;5.468;3.659
Alagoas;MARECHAL DEODORO;Privada;28;0
Alagoas;MARIBONDO;Total;1.901;1.632
Alagoas;MARIBONDO;Estadual;0;484
Alagoas;MARIBONDO;Municipal;1.901;1.148
Alagoas;MATA GRANDE;Total;5.443;2.260
Alagoas;MATA GRANDE;Estadual;665;1.030
Alagoas;MATA GRANDE;Municipal;4.778;1.230
Alagoas;MATA GRANDE;Privada;0;0
Alagoas;MATRIZ DE CAMARAGIBE;Total;3.961;1.916
Alagoas;MATRIZ DE CAMARAGIBE;Estadual;512;736
Alagoas;MATRIZ DE CAMARAGIBE;Municipal;3.449;1.180
Alagoas;MATRIZ DE CAMARAGIBE;Privada;0;0
Alagoas;MESSIAS;Total;2.841;1.299
Alagoas;MESSIAS;Estadual;0;80
Alagoas;MESSIAS;Municipal;2.820;1.219
Alagoas;MESSIAS;Privada;21;0
Alagoas;MINADOR DO NEGRAO;Total;1.453;693
Alagoas;MINADOR DO NEGRAO;Estadual;156;99
Alagoas;MINADOR DO NEGRAO;Municipal;1.297;594
Alagoas;MONTEIROPOLIS;Total;1.400;745
Alagoas;MONTEIROPOLIS;Estadual;168;0
Alagoas;MONTEIROPOLIS;Municipal;1.232;745
Alagoas;MURICI;Total;4.194;2.423
Alagoas;MURICI;Estadual;436;347
Alagoas;MURICI;Municipal;3.758;2.076
